TOKEN,POS,LEMMA,SENTIMENT,SOURCE,SENSE
абортивный,Adj,абортивный,negative,fact,""
абсурдный,Adj,абсурдный,negative,opinion,""
авантюристический,Adj,авантюристический,negative,opinion,""
авантюристский,Adj,авантюристский,negative,opinion,""
авантюрный,Adj,авантюрный,negative,opinion,""
аварийный,Adj,аварийный,negative,fact,""
авитаминозный,Adj,авитаминозный,negative,fact,""
авральный,Adj,авральный,negative,opinion,""
авторитарный,Adj,авторитарный,negative,opinion,""
авторитетный,Adj,авторитетный,positive,opinion,""
агрессивный,Adj,агрессивный,negative,opinion,""
агрессорский,Adj,агрессорский,negative,opinion,""
адаптационный,Adj,адаптационный,positive,opinion,""
адаптивный,Adj,адаптивный,positive,opinion,""
адекватный,Adj,адекватный,positive,opinion,""
адов,Adj,адов,negative,opinion,""
адовый,Adj,адовый,negative,opinion  ,""
адский,Adj,адский,negative,opinion,""
ажиотажный,Adj,ажиотажный,negative,fact ,""
аккуратный,Adj,аккуратный,positive,opinion,""
активный,Adj,активный,positive,opinion,""
актуальный,Adj,актуальный,positive,opinion,""
алкоголический,Adj,алкоголический,negative,fact,""
аллергенный,Adj,аллергенный,negative,fact,""
аллергический,Adj,аллергический,negative,fact,""
алогический,Adj,алогический,negative,opinion,""
алогичный,Adj,алогичный,negative,opinion,""
алчный,Adj,алчный,negative,opinion,""
аморальный,Adj,аморальный,negative,opinion,""
аморфный,Adj,аморфный,negative,opinion,"БЕЗДЕЯТЕЛЬНЫЙ"
аморфный,Adj,аморфный,negative,opinion,"РАСПЛЫВЧАТЫЙ (НЕЯСНЫЙ)"
аморфный,Adj,аморфный,neutral,fact,"АМОРФНОЕ СТРОЕНИЕ"
ампутационный,Adj,ампутационный,negative,fact,""
ампутированный,Adj,ампутированный,negative,fact,""
анархистский,Adj,анархистский,negative,fact,""
анархический,Adj,анархический,negative,fact,""
ангажированный,Adj,ангажированный,negative,opinion,""
ангельский,Adj,ангельский,positive,opinion,""
ангинный,Adj,ангинный,negative,fact,""
ангиозный,Adj,ангиозный,negative,fact,""
анемический,Adj,анемический,negative,fact,""
анемичный,Adj,анемичный,negative,opinion,""
аномальный,Adj,аномальный,negative,opinion,""
антагонистический,Adj,антагонистический,negative,opinion,""
антагонистичный,Adj,антагонистичный,negative,opinion,""
антагонистский,Adj,антагонистский,negative,opinion,""
антигуманистический,Adj,антигуманистический,negative,opinion,""
антигуманный,Adj,антигуманный,negative,opinion,""
антизаконный,Adj,антизаконный,negative,opinion,""
антиконституционный,Adj,антиконституционный,negative,fact,""
антимонопольный,Adj,антимонопольный,negative,fact ,""
антинародный,Adj,антинародный,negative,opinion,""
антиобщественный,Adj,антиобщественный,negative,opinion,""
антипатичный,Adj,антипатичный,negative,opinion,""
антиправительственный,Adj,антиправительственный,negative,fact,""
антисанитарный,Adj,антисанитарный,negative,fact,""
антисемитский,Adj,антисемитский,negative,fact,""
антисионистский,Adj,антисионистский,negative,fact,""
антисоциальный,Adj,антисоциальный,negative,opinion,""
антицеллюлитный,Adj,антицеллюлитный,positive,fact,""
античеловеческий,Adj,античеловеческий,negative,opinion,""
античеловечный,Adj,античеловечный,negative,opinion,""
апатический,Adj,апатический,negative,opinion,""
